city_id,city_zh,city_en,country_zh,country_en,latitude,longitude,sample_count,compared_count,missing_count,nasa_mean_sample_t2m_c,era5_mean_sample_t2m_c,mean_bias_era5_minus_nasa_c,mean_abs_diff_c,p95_abs_point_diff_c,max_abs_point_diff_c,p95_band_mean_bias_c,tail_mean_bias_c,mean_threshold_c,tail_threshold_c,tail_vote_threshold_c,point_hard_threshold_c,status,reason
ahvaz,阿瓦士,Ahvaz,伊朗,Iran,31.3183,48.6706,100,100,0,36.711,35.822,-0.889,2.479,5.577,7.35,-2.684,-2.511,1.5,3.0,4.0,6.0,双源一致,抽样均值和高温尾部低于工程阈值；单点 P95 未触发硬异常线
jizan_saudi,吉赞,Jizan,沙特阿拉伯,Saudi Arabia,16.8892,42.5511,100,100,0,33.984,32.547,-1.437,1.691,4.121,4.76,-1.748,-2.906,1.5,3.0,4.0,6.0,双源一致,抽样均值和高温尾部低于工程阈值；单点 P95 未触发硬异常线
kuwait_city,科威特市,Kuwait City,科威特,Kuwait,29.3759,47.9774,100,100,0,34.169,34.251,0.082,1.48,3.101,3.9,-0.247,-0.493,1.5,3.0,4.0,6.0,双源一致,抽样均值和高温尾部低于工程阈值；单点 P95 未触发硬异常线
